case,site,Pop,sex,age,hdlngth,skullw,totlngth,taill,footlgth,earconch,eye,chest,belly
1,1,Vic,m,8,94.1,60.4,89,36,74.5,54.5,15.2,28,36
2,1,Vic,f,6,92.5,57.6,91.5,36.5,72.5,51.2,16,28.5,33
3,1,Vic,f,6,94,60,95.5,39,75.4,51.9,15.5,30,34
4,1,Vic,f,6,93.2,57.1,92,38,76.1,52.2,15.2,28,34
5,1,Vic,f,2,91.5,56.3,85.5,36,71,53.2,15.1,28.5,33
6,1,Vic,f,1,93.1,54.8,90.5,35.5,73.2,53.6,14.2,30,32
7,1,Vic,m,2,95.3,58.2,89.5,36,71.5,52,14.2,30,34.5
8,1,Vic,f,6,94.8,57.6,91,37,72.7,53.9,14.5,29,34
9,1,Vic,f,9,93.4,56.3,91.5,37,72.4,52.9,15.5,28,33
10,1,Vic,f,6,91.8,58,89.5,37.5,70.9,53.4,14.4,27.5,32
11,1,Vic,f,9,93.3,57.2,89.5,39,77.2,51.3,14.9,31,34
12,1,Vic,f,5,94.9,55.6,92,35.5,71.7,51,15.3,28,33
13,1,Vic,m,5,95.1,59.9,89.5,36,71,49.8,15.8,27,32
14,1,Vic,m,3,95.4,57.6,91.5,36,74.3,53.7,15.1,28,31.5
15,1,Vic,m,5,92.9,57.6,85.5,34,69.7,51.8,15.7,28,35
16,1,Vic,m,4,91.6,56,86,34.5,73,51.4,14.4,28,32
17,1,Vic,f,1,94.7,67.7,89.5,36.5,73.2,53.2,14.7,29,31
18,1,Vic,m,2,93.5,55.7,90,36,73.7,55.4,15.3,28,32
19,1,Vic,f,5,94.4,55.4,90.5,35,73.4,53.9,15.2,28,32
20,1,Vic,f,4,94.8,56.3,89,38,73.8,52.4,15.5,27,36
